xid,Project Name,Builder Name,Project Address,Property Type,Amenities,Amentity_count,rera_no,Project Area,Project Size-Tower Count,Project Size-Unit Count,Configs,Unit range
r225277,Green Avenue,PIONEER HOMES,"Green Avenue, Avani Vihar, Mowa Daldal Seoni, Raipur(C.G)",Residential - Townhouses,"Gated Community,Solar Panel,Jacuzzi,Sauna,Gymnasium,Children's Play Area,Badminton Court,Cricket Pitch,Rain Water Harvesting,Temple,Sewage Treatment Plant",11,P3CGRERA210818000009,Not found,Not found,Not found,None,None
r227425,Vasundhara,"Monika Real Bildcon Pvt. Ltd., G.C. Construction and Consultants.",Besides Government Engineering College Sejbahar Raipur,Residential - Plots,"Gated Community,Internal Street Lights,Temple,Club House,Children's Play Area,Jogging Track,Badminton Court,Party Lawn",8,PCGRERA161018000817,Not found,Not found,Not found,None,None
r262174,Green Meadows Phase-II,Sterling Balajee Builders,"Bhojpur Road, Bhopal",Residential - Plots,"Gated Community,Paved Compound,Internal Street Lights,Children's Play Area,Club House,Badminton Court,Shopping Centre,Gymnasium",8,Not found,23 acres,Not found,Not found,None,814~1100 sq.ft
r265117,NA NOC Title Clear Project,PEGASUS INFRASPACE LLP,Not found,Residential - Plots,"Children's Play Area,Cricket Pitch,Jogging Track,Landscape Garden,Park,Volley Ball Court,Club House,Vastu Compliant",8,Not found,Not found,Not found,Not found,None,140~555 Sq.Yrds
r265701,Greenfield-4,LG Developers & Builders,"SITE: Greenfield-4, In front of D-Mart, Behind Babasaheb Kedar Sutigini, Wanzadongri, Tah. - Hingna, Dist. - Nagpur",Residential - Apartments,"Earthquake Resistant,Gymnasium,Children's Play Area,Swimming Pool,Indoor Games,24x7 Security,Jogging Track,Badminton Court,Table Tennis,Power Back up Lift,Creche/Day care,Club House,Car Parking,Lift(s),Vastu Compliant,Solar Lighting",16,P52000024778,Not found,Not found,Not found,2BHK,877.77~984.96 sq.ft
r266479,Salarpuria Sattva Magnus,Salarpuria Sattva Group,"Near Jubilee Hills, Shaikpet",Residential - Apartments,"Gymnasium,Health Spa,Badminton Court,Squash Court,Indoor Games,Billiards,Swimming Pool,Children's Play Area,Club House,Intercom,24x7 Security,Lift(s)",12,Not found,Not found,Not found,Not found,"2BHK,3BHK,4BHK",None
r267131,THE VILLAGE,Trishala Infrastructure Pvt Ltd,"Survey No: 26/p, 28/p, 29/p, 31/p & 33/p
Satamrai Village, Shamshabad Mandal
Ranga Reddy District, Hyderabad",Residential - Villas,"Vastu Compliant,Gymnasium,Indoor Games,Yoga/Meditation Area,Jogging Track,Children's Play Area,Swimming Pool,Sewage Treatment Plant,Rain Water Harvesting,Intercom",10,Not found,Not found,Not found,Not found,"3 BHK,4 BHK",2676.68~2677.27 Sq ft
r269631,TULSI NISARG,Pristine Group,"Tulsi Nisarg, Karjat - Kalyan Highway, Neral (E), Raigad Maharashtra, 410101",Residential - Apartments,"Earthquake Resistant,Society Office,Anti-Skid Tiles in Bathrooms,Security Cabin",4,P52000005986,Not found,8,Not found,"1BHK,2BHK",None
r270399,Amethyst,Vaibhav Corporation Pvt. Ltd.,"B/h. St. Xavier Technical Institute, Opp. Baroda Homeopathic College, Sevasi-Sherkhi Road, Vadodara (Gujarat) 391 330.",Residential - Villas,"Gated Community,Swimming Pool,Children's Play Area,Landscaped Garden,Security Cabin,Gymnasium,Club House,Multi-purpose Hall,Car Parking,24x7 Security,Vastu Compliant",11,PR/GJ/VADODARA/VADODARA/Vadodara Urban Development Authority/RAA13694/180624/311228,Not found,Not found,Not found,"4B2HK,5B3HK",2109~5543 sq.ft
r270451,MUPPA'S INDRAPRASTHA,Muppa Projects India Pvt. Ltd.,"# 85, Muppa’s Pearl, Janardhan Hills, Gachibowli, Hyderabad- 500 032.",Residential - Villas,"Skating Rink,Outdoor Gym,Jogging Track,Children's Play Area,Amphitheatre,Swimming Pool,Jacuzzi,Spa,Sauna,Steam Room,Gymnasium,Table Tennis,Billiards,Carrom,Party Lawn,Multipurpose Hall",16,Not found,Not found,Not found,Not found,None,None
r274229,Godrej Tranquil,Shivam Developers,"Near Lokhandwala Circle, Opposite Living Essence Building, Off Akurli Road, Lokhandwala Township, Akurli Road, Kandivali (East)",Residential - Apartments,"Gated Community,Library,Sauna,Steam Room,Gymnasium,Landscape Garden,Manicured Garden,Senior Citizen Sitout,Sit Out Area,Park,Gazebo,Barbecue,Jogging Track,Club House,Multipurpose Hall,Children's Play Area,Swimming Pool,Banquet Hall,Party Lawn,Yoga/Meditation Area,24/7 Water Supply,Sewage Treatment Plant,Rain Water Harvesting,Energy Efficient Lightining",24,P51800000812,Not found,Not found,Not found,"1 BHK,2 BHK,2.5 BHK",37.27~78.72 sq.m
r276559,Resizone Paradise Greens,Resizone Group,"Majra, Dehradun",Residential - Apartments,"Earthquake Resistant,Vastu Compliant,Banquet Hall,CCTV Camera Security,Jogging Track,Club House,Cafeteria,Swimming Pool,Gymnasium,Landscape Garden,Fire Fighting Systems,24/7 Power Backup,Rain Water Harvesting,24/7 Water Supply,Lift(s),Car Parking,Badminton Court,Children's Play Area,Intercom,Multipurpose Hall,Fountain,Entrance Lobby,Yoga/Meditation Area,Shopping Centre",25,Not found,Not found,Not found,Not found,"1BHK,2BHK,3BHK",1125~1650 sq.ft
r277489,Sudarshan Lands End,Sudarshan,"Plot bearing CTS No.: 1447, 1459 & 1460 of Village Malwani, Off. Marve Road, Malad (West), Mumbai - 400 095.",Residential - Apartments,"Intercom Facilities,Car Parking,Gym",3,Not found,Not found,Not found,Not found,"2BHK,1 BHK",None
r279103,Saldanha Green Valley Phase II Nachinola,Saldanha Developers (P) Ltd.,"Nachinola, Goa, India",Residential - Apartments,"Gated Community,Car Parking,Club House,Children's Play Area,Swimming Pool,Landscape Garden,Gymnasium,Solar Water Heating",8,Not found,Not found,Not found,Not found,2BHK,None
r291197,AIRPORT CITY,SKY UJJAWALA BUILDERS AND DEVELOPERS,"B-56/57 Indra Vihar Colony, Airport Road, Bhopal",Residential - Duplexes,"Eco Friendly Environment,Swimming Pool,Gymnasium,Club House,Jogging Track,Badminton Court,Children's Play Area,24x7 Security",8,Not found,Not found,Not found,Not found,3 BHK,None
r297193,OFFICER'S TOWN,BUILDYUG,"Officers Town Township near IISER Institute & SPA College at Madhya Pradesh Police Academy Square
Main Bhopal–Indore Bypass, Bhopal",Residential - Townhouses,"Gated Community,Internal Street Lights,Vastu Compliant,Children's Play Area,CCTV Camera Security,24x7 Security",6,P-OTH-24-4483,22 acre,Not found,350,None,600~3200 sq ft
r298053,Landmark Paradise,Shubham Group,"Landmark Paradise, (Near C Block), Opp. 33 KV Grid Sub Station, 60' Canal Road, Landmark City, Bundi Road, Kota (Raj.)",Residential - Apartments,"Earthquake Resistant,Vastu Compliant,Community Hall,Carrom,Chess,Swimming Pool,Jogging Track,Indoor Games,ATM,24/7 Water Supply,School,Basketball Court,Volley Ball Court,Club House",14,RAJ/P/2017/266,Not found,Not found,Not found,"3BHK,1BHK",1112.72 sqft
r298295,Apar City,Elite Builders,"APAAR CITY CAMPUS NEW RING ROAD
BHOPAL VIDISHA SQUARE BHOPAL",Residential - Apartments,"Vastu Compliant,Landscape Garden,Internal Street Lights,Children's Play Area",4,Not found,Not found,Not found,Not found,None,525~1000 sqft
r302643,Raindance,Countryside,"Sy. No. 23/4, Golahalli Main Road, Maragondanahalli, Electronic City Phase 1, Bengaluru 560100",Residential - Apartments,"Gated Community,Vastu Compliant,Landscape Garden,Open Space,Park,Car Parking,Club House,Children's Play Area,Swimming Pool,CCTV Camera Security,Fire Fighting Systems,24x7 Security,Intercom,Lift(s),24/7 Power Backup,Sewage Treatment Plant,Rain Water Harvesting,Water Treatment Plant,Solar Panel,Barbecue,Gymnasium",21,PRM/KA/RERA/308/1251/PR/002145/180119,1.8 acres,2,Not found,"2BHK,3BHK,Penthouse",1195~2067 sqft
r305190,CHANDRIKA AYODHYAA,RAKI AVENUES PVT. LTD.,"Gannavaram, Vijayawada, Andhra Pradesh",Residential - Apartments,"Club House,Gymnasium,Yoga/Meditation Area,Indoor Games,Conference Room,Multipurpose Hall,Jogging Track,Swimming Pool,Car Parking,24/7 Power Backup,CCTV Camera Security,24x7 Security,Temple,Super Stores",14,PBR210200620,Not found,Not found,670,"2BHK,3BHK",676~2000 Sft
r305665,NIRMITI HEIGHTS,ANNAPURNA DEVELOPERS,"Jaitala, Nagpur-440036",Residential - Apartments,"Gated Community,Children's Play Area,Jogging Track,Landscape Garden,Car Parking,Lift(s),24/7 Water Supply,Rain Water Harvesting,Security Cabin,CCTV Camera Security,24x7 Security,Library,Park",14,Not found,spacious land located at Jaitala,2,24,1BHK,None
r306151,Siddartha Solitaire,Siddartha Builders,"Sy. No.: 25/7,8,9,10, Katha No. 42, Bertene Agrahara, Hosa Road, Doddanagamangala Road Bengaluru 560 100. Karnataka",Residential - Apartments,"Swimming Pool,Gymnasium,Club House,Jogging Track",4,PRM/KA/RERA/1251/310/PR/211022/004370,Not found,Not found,Not found,"2BHK,3BHK",1135~1570 sq.ft
r3154,RG Orchids Gardenia,RG Unique Structures Pvt Ltd,Opp. Manyata Tech Park,Residential - Apartments,"Pet Park,Cricket Net,Jogging Track,Acupressure Walkway,Swimming Pool,Club House,Multipurpose Hall,Table Tennis,Carrom,Chess,EV Charging Stations,CCTV Camera Security,24/7 Power Backup,Rain Water Harvesting,Internal Street Lights,Gymnasium,Children's Play Area,Gated Community,Amphitheatre,Party Lawn",20,PRM/KA/RERA/1251/309/PR/180227/001973,2.7 ACRES,3,132,3BHK,1860~2890 sq.ft
r316865,Vaibhav Nagar Villa Plots,Vaibhav Group,"Sy.no 7, 8/1 and 6/1, Kalyapura, Jangomkote Hobli, Siddlaghatta - 562105",Residential - Villas,"Gated Community,Rain Water Harvesting,Sewage Treatment Plant,Children's Play Area,Jogging Track,Park,Volley Ball Court,Basketball Court,Landscape Garden",9,PRM/KA/RERA/1254/465/PR/181010/002065,Not found,Not found,Not found,None,30 x 40~40 x 60
r319127,Sacchidanand Waman Nagari,Sacchidanand Realties Pvt. Ltd.,"Sacchidanand Waman Nagari, Besa-Pipla Road, Beside Jayanti Nagari-7, Pipla, Nagpur - 440027.",Residential - Apartments,"Earthquake Resistant,Temple,Club House,Children's Play Area,Sand Pit,Swimming Pool,Badminton Court,Basketball Court,Gymnasium,Yoga/Meditation Area,Landscape Garden,Jogging Track,CCTV Camera Security,24x7 Security",15,Not found,2.79 acres,4,314,"2 BHK,3 BHK",53.737~61.891 sq.m
r320477,serene gardens,Jacobson Developers,"Byrathi, Off Hennur–Bagalur Road, Bengaluru – 560077",Residential - Apartments,"Children's Play Area,Sewage Treatment Plant,Rain Water Harvesting,Borewell Water Supply,Indoor Games,Jogging Track,Gymnasium,Party Lawn,Solar Water Heating,Piped Gas",10,PRM/KA/RERA/1251/446/PR/040924/006991,Not found,Not found,20,"2BHK,3BHK",1060~1970 sqft
r324809,RAM KUNJ,Prachi Agriculture & Properties (P) Ltd.,"Opposite Mujgahan Police Station, Purani Dhamtari Road Sejbahar - Mujgahan, Raipur (CG)",Residential,"Gated Community,Well-Maintained Internal Roads,Park,Amphitheatre,Children's Play Area,Sewage Treatment Plant,Waste Management,Underground Electric Cabling,24/7 Water Supply",9,PCGRERA 080219000919,Not found,Not found,Not found,None,None
r324841,Jaypee Serenity Layout,Jay Pee Innovative Housing (PVT) LTD,"Sy.Nos. 220/1, 220/2 & 221/1 Ballur Village, Attibele Hobli BENGALURU - 562 107",Residential - Villas,"Gated Community,Sewage Treatment Plant,Underground Electric Cabling,Park,Children's Play Area,Club House,Gymnasium,Jogging Track,Swimming Pool,Badminton Court",10,Not found,Not found,Not found,Not found,None,None
r327109,AMBIKA ICON,Ambika Group,214 Raja Ram Mohan Roy Road Kolkata 700 008,Residential - Apartments,"Gated Community,Well-Maintained Internal Roads,Private Gardens/Balconies,Solar Panel,Landscape Garden,Manicured Garden,Flower Garden,Fountain,Natural Pond,Park,Barbecue,Amphitheatre,Jogging Track,Card Room,Indoor Games,Cycling Track,CCTV Camera Security,Fire Fighting Systems,24x7 Security,Video Door Security,Intercom Facilities,Lift(s),Entrance Lobby,24/7 Power Backup,Sewage Treatment Plant,24/7 Water Supply,Rain Water Harvesting,Swimming Pool,Club House,Community Hall,Children's Play Area,Gymnasium,Library,Party Lawn,Jacuzzi",32,HIRA/P/KOL/2019/000390,Not found,Not found,110,"3 BHK,2 BHK",600~1445 sq.ft
r327593,Nature's Nest,Vaibhav Group,"Sy No. 38/2, 38/4, 34/2, 34/3, 34/5, 34/10, 34/15, 34/16 Mallenahalli Village, Jangamakote Hobli, Sidlaghatta Taluk, Chikaballapura Dist.",Residential - Villa plots,"Rain Water Harvesting,Open Space,Park,Cricket Pitch,Basketball Court,Lush Gardens",6,PRM/KA/RERA/1254/465/PR/220125/007416,Not found,Not found,Not found,None,"30x50, 40x40, 30x40 sq.ft"
r3292,Aliens HUB,Aliens Group,"Near Kadthal Junction, Chennaram, Telangana 509321",Residential - Villas,"Grade A Building,Golf Course,Amphitheatre,Cycling Track,Rope Course,Ziplining,Open Space,Community Activities,Golf Putty,24/7 Security,Fire Fighting Systems,Landscape Garden,Mini Theatre,Gated Community",15,Not found,Not found,Not found,Not found,None,None
r330153,Panthaniwas Dooars,SREE BALAJI,"Purbo Batabari, P.O - Batabari, P.S - Matiali, Vill - Dakshin Dhupihora, Dist - Jalpaiguri, West Bengal - 735206",Residential - Apartments,"Landscape Garden,Jogging Track,Swimming Pool,Club House,Children's Play Area,Banquet Hall,Badminton Court,Amphitheatre,Library,Jacuzzi,Manicured Garden",12,HIRA/P/JAL/2019/000478,Not found,Not found,Not found,"Studio Apartment,Luxury Suite",None
r330671,Seasons Sahara,Seasons Infralife,"Survey no. 33/11, behind 50-50 Dhaba, Opp. Essar petrol pump,Haji Malang road, Pisavali, Kalyan (E), 421306",Residential - Apartments,"Earthquake Resistant,Fire Fighting Systems,CCTV Camera Security,Solar Panel,Swimming Pool,Children's Play Area",6,Not found,Not found,Not found,1000,"1 BHK,2 BHK",None
r333653,DAKSH AVENUE,SAMRIDHI,SECTOR 150 NOIDA,Residential - Apartments,"Gated Community,Earthquake Resistant,Vastu Compliant,Internal Street Lights,Private Gardens/Balconies,Solar Lighting,Creche/Day care,Temple,Community Hall,Pet Park,Co-Working Spaces,Outdoor Event Spaces,Carrom,Chess,Dart Board,Billiards,Pool Table,Foosball,Air Hockey,Cricket Pitch,Table Tennis,Basketball Court,Skating Rink,Badminton Court,Video Gaming Room,Massage Room,Yoga/Meditation Area,Spa,Sauna,Steam Room,Gymnasium,Landscape Garden,Open Space,Manicured Garden,Terrace Garden,Flower Garden,Fountain,Pedestrian-Friendly Zones,Park,Cabana Sitting,EV Charging Stations,Car Parking,Music Room,Dance Studio,Art and Craft Studio,Club House,Multipurpose Hall,Children's Play Area,Swimming Pool,Multipurpose Court,Theatre,Golf Course,Banquet Hall,Sun Deck,Party Lawn,Gazebo,Barbecue,Amphitheatre,Jogging Track,Mini Theatre,Card Room,Indoor Games,Cycling Track,Gaming Zones,Art Gallery,Golf Putty,Fire Fighting Systems,CCTV Camera Security,Security Cabin,Smoke Detectors,Gas Leak Detectors,24x7 Security,Video Door Security,Intercom Facilities,Signage and Road Markings,Ambulance Service,Lounge,Restaurant,Cafeteria,RO System,Wi-Fi Connectivity,Wi-Fi Zones in Common Areas,Laundry,Salon,Car wash area,Milk Booth,Letter Box,Name Plates,Shopping Centre,Grocery Shop,Bus Shelter,Toilet for drivers,Concierge Service,Lift(s),Property Staff,Entrance Lobby,Intercom,ATM,Maintenance Staff,DG Availability,24/7 Power Backup,Underground Electric Cabling,Centralized Air Conditioning,Air Purification Systems,Plumber/Electrician on Call,Waste Management,Garbage Disposal,Sewage Treatment Plant,Garbage Chute,Waste Segregation and Disposal,Recycling Facilities,Organic Waste Converter,Composting Facilities,24/7 Water Supply,Water Softener Plant,Rain Water Harvesting,Borewell Water Supply,Municipal Water Supply,Smart Water Meters,Greywater Recycling,Water Treatment Plant",118,UPRERAPRJ155408,approx 8 acres,7,455,"3BHK,4BHK",1980~2990 sq. ft
r334945,UNIMONT Aurum ELEVATE,Unimont,"Gut No. 102, Opp. HP Petrol Pump 
Chowk Karjat Murbad Road
Dahivali Village, Karjat, Dist - Raigad",Residential - Apartments,"Earthquake Resistant,CCTV Camera Security,Fire Fighting Systems,24x7 Security,Swimming Pool,Gymnasium,Indoor Games,Children's Play Area,Senior Citizen Sitout,Badminton Court,Cricket Pitch,Jogging Track,Party Lawn,Multipurpose Hall,Lounge",15,P52000021298,3.3 Acre Township Project,6,Not found,"Deluxe Studios,1 BHK,2 BHK",None
r338207,Ashray Vihar-II,SRI JAGANNATH PROMOTERS AND BUILDERS PVT. LTD.,"Madanpur, Gadajagasara Mz., Jatani Tahasil, BDA",Residential - Apartments,"Jogging Track,Children's Play Area,Gymnasium,Chess,Amphitheatre,Lawn Tennis Court",6,RP/19/2024/01143,Not found,13,242,"2BHK,3BHK",None
r339973,Jay Sai Park,Jay Developers,Nasik Road,Residential - Apartments,"CCTV Camera Security,Senior Citizen Sitout,Children's Play Area,Landscape Garden,Video Door Security,Lift(s),Car Parking,24x7 Security",8,Not found,Not found,Not found,Not found,"1BHK,2BHK",None
r340027,UNIMONT IMPERIA,UNIMONT,"CTS NO. 3531, NEAR UNIMONT EMPIRE, NH4-MUMBAI PUNE NATIONAL HIGHWAY, KHOPOLI",Residential - Apartments,"Swimming Pool,Party Lawn,Gazebo,Multipurpose Hall,Lounge,Cafeteria,Steam Room,Spa,Gymnasium,Meditation Hall,Indoor Games,Sun Deck,Landscape Garden,Jogging Track,Senior Citizen Sitout,Basketball Court,Badminton Court,Library,Fire Fighting Systems,CCTV Camera Security,24x7 Security,Earthquake Resistant,Power Back up Lift,Open Space",22,P52000022177,More than 40000 sq.ft,Not found,Not found,"1 BHK,2 BHK",None
r344117,SANFRAN ESTATE,Sanfran Group,"Sultanpur Road, Village Bakkas, NH-56, Opposite Jalsa Resort, Lucknow (U.P)- 226002",Residential - Villas,"Earthquake Resistant,Gated Community,Vastu Compliant,Private Gardens/Balconies,Creche/Day care,Temple,Community Hall,Club House,Children's Play Area,Swimming Pool,Amphitheatre,Jogging Track,CCTV Camera Security,24x7 Security,Intercom Facilities,Smart Home Automation,Wi-Fi Connectivity,Lift(s),Power Back up Lift,Landscape Garden,Manicured Garden,Rain Water Harvesting,Car Parking,Gymnasium",25,UPRERAPRJ580591,Not found,Not found,Not found,"Villas,Bungalow",None
r344405,Vishram’s Nest,VISHRAM INFRASTRUCTURE PVT LTD,"OMR Main road just adjacent to SSN Engineering College, Chennai",Residential - Apartments,"Vastu Compliant,Gymnasium,Car wash area,Lift(s),24/7 Security,Intercom",6,TN/01/Building/0191/2019,3.49 acre,Not found,Not found,"2BHK,3BHK",928~1067 sq.ft
r346899,AMOR de GOA,Aprasa’s,Candolim-Bardez- North Goa,Residential - Apartments,"Gated Community,Swimming Pool,Gymnasium,Lift(s),24/7 Security",5,PRGO12191009,Not found,Not found,Not found,"1 BHK,1 BHK with Attic",None
r347849,Aakriti Jiva,Aakriti Constructions and Developers Pvt. Ltd.,"Beside Jawahar Navodaya, Nallagandla, Gachibowli, Telangana - 500019",Residential - Apartments,"Gated Community,Vastu Compliant,Creche/Day care,Temple,Pet Park,Co-Working Spaces,Gymnasium,Landscape Garden,Park,Club House,Children's Play Area,Swimming Pool,Jogging Track,Card Room,Indoor Games,CCTV Camera Security,24x7 Security,Intercom Facilities,Lift(s),24/7 Power Backup,Sewage Treatment Plant,Rain Water Harvesting,Car Parking,Waste Management,Fire Fighting Systems",26,P02400001510,9466 SQUARE YARDS,1,230,"2 BHK,3 BHK",1355~2509 SFT
r348181,Sky High Luxury Homes,Sky High Developers,"Sector-8 Dwarka, Delhi Dwarka",Residential - Apartments,"Gated Community,Lift(s),Car Parking,24x7 Security,24/7 Power Backup,Piped Gas,24/7 Water Supply",7,Not found,0.05 acres,1,7,"2BHK,3BHK,4BHK",648~2500 sq.ft
r351045,Shubh Avenue,Sumangalam Group Kota,"Near Raipura Circle, Kota (Rajasthan)",Residential - Apartments,"Gated Community,Vastu Compliant,Temple,Community Hall,Party Lawn,Gymnasium,Landscape Garden,Park,Club House,Children's Play Area,Swimming Pool,Indoor Games,CCTV Camera Security,24x7 Security,Power Back up Lift,24/7 Power Backup,Intercom",17,RAJ/P/2022/1859,approx 5 Lac sq.ft.,Not found,Not found,"3 BHK,4 BHK",1174~3089 sq. ft.
r352935,Velumuri Vistas,Velumuri Infra,"R.S.No. 44/2B, Beside D-Mart, SriRam Nagar, Opp. Maha Lakshmi General Market, Near Morampudi Junction, Hukumpeta, Rajahmundry-533107",Residential - Apartments,"Gated Community,Internal Street Lights,Children's Play Area,Swimming Pool,Badminton Court,Gymnasium,Sauna,Spa,Jogging Track,Indoor Games,Amphitheatre,Club House,Car Parking,Rain Water Harvesting,ATM",16,P04290060749,Not found,5,280,"2BHK,3BHK",1039~2000 sq.ft
r352985,A H SAPPHIRE,A H CONSTRUCTIONS,"A H Sapphire, Penkarpada, Near Dahisar Toll Naka, Mira Road (E), Dist. Thane - 401 107",Residential - Apartments,"Children's Play Area,Waiting Lounge,Car Parking,24x7 Security,Jogging Track,Solar Panel",6,P51700026430,Not found,Not found,Not found,"1BHK,2BHK",354.25~369.50 sq.ft
r354606,TREELAND®,ABH DEVELOPERS,"Treeland, Survey No: 21, Nr. Serene Meadows, Gangapur Rd, Nashik",Residential - Apartments,"Gated Community,Earthquake Resistant,Vastu Compliant,Creche/Day care,Temple,Community Hall,Library,Pet Park,Co-Working Spaces,Outdoor Event Spaces,Sauna,Gymnasium,Landscape Garden,Manicured Garden,Park,EV Charging Stations,Car Parking,Club House,Children's Play Area,Swimming Pool,Amphitheatre,Jogging Track,Mini Theatre,Card Room,Indoor Games,CCTV Camera Security,Fire Fighting Systems,24x7 Security,Video Door Security,Intercom Facilities,Waste Management,Garbage Disposal,Sewage Treatment Plant,Rain Water Harvesting,24/7 Water Supply,Car wash area,Entrance Lobby,Lift(s),Maintenance Staff,24/7 Power Backup,Power Substation,Piped Gas,Wi-Fi Connectivity,Solar Lighting,Internal Street Lights,Open Space,Senior Citizen Sitout,Sit Out Area,Badminton Court,Tennis court",51,P51600025058,18 acres,Not found,900+,"2BHK,3BHK,4BHK",None
r355014,BLISS,Pradeep Constructions,"Beside The Park Hotel, Somajiguda, Hyderabad, 500082, India",Residential - Apartments,"Gated Community,Vastu Compliant,Creche/Day care,Temple,Community Hall,Swimming Pool,Club House,Children's Play Area,Indoor Games,CCTV Camera Security,24x7 Security,Intercom Facilities,Lift(s),24/7 Power Backup,Waste Management,Rain Water Harvesting,Gymnasium,Home Theatre",20,Not found,2.0 Acres,2,153,"3 BHK,4 BHK","2,288.00~5,078.00 sq.ft"
r355094,Empire Urbana,Empire Delta Projects LLP,"Nanakramguda, Hyderabad",Residential - Apartments,"Gated Community,Earthquake Resistant,Vastu Compliant,Library,Gymnasium,Landscape Garden,Children's Play Area,Amphitheatre,Indoor Games,Intercom Facilities,Lift(s),Sewage Treatment Plant,Rain Water Harvesting,24/7 Water Supply,24x7 Security,Yoga/Meditation Area,Car Wash Area,Power Back up Lift",18,P02400001828,Not found,Not found,34,"2BHK,3BHK",1574~2450 sq ft
r356094,AWADH Ambrosia,AWADH Group,"Awadh Ambrosia, Rameshwar Road, Harahua, Varanasi",Residential - Apartments,"Earthquake Resistant,Intercom Facilities,Security System,Gas Supply,Landscaping,GYM,Temple,Covered Car Parking Space,Swimming Pool,Yoga/Meditation Area,Badminton Court,Jogging Track,Senior Citizen Sitout",14,UPRERAPRJ183751,Not found,Not found,Not found,"2BHK,3BHK",921.37~1650.0 sq.ft
